Result,Move_ply_1,Move_ply_2,Move_ply_3,Move_ply_4,Move_ply_5,Move_ply_6,Move_ply_7,Move_ply_8,Move_ply_9,Move_ply_10,Move_ply_11,Move_ply_12,Move_ply_13,Move_ply_14,Move_ply_15,Move_ply_16,Move_ply_17,Move_ply_18,Move_ply_19,Move_ply_20,Move_ply_21,Move_ply_22,Move_ply_23,Move_ply_24,Move_ply_25,Move_ply_26,Move_ply_27,Move_ply_28,Move_ply_29,Move_ply_30,Move_ply_31,Move_ply_32,Move_ply_33,Move_ply_34,Move_ply_35,Move_ply_36,Move_ply_37,Move_ply_38,Move_ply_39,Move_ply_40,Move_ply_41,Move_ply_42,Move_ply_43,Move_ply_44,Move_ply_45,Move_ply_46,Move_ply_47,Move_ply_48,Move_ply_49,Move_ply_50,Move_ply_51,Move_ply_52,Move_ply_53,Move_ply_54,Move_ply_55,Move_ply_56,Move_ply_57,Move_ply_58,Move_ply_59,Move_ply_60,Move_ply_61,Move_ply_62,Move_ply_63,Move_ply_64,Move_ply_65,Move_ply_66,Move_ply_67,Move_ply_68,Move_ply_69,Move_ply_70,Move_ply_71,Move_ply_72,Move_ply_73,Move_ply_74,Move_ply_75,Move_ply_76,Move_ply_77,Move_ply_78,Move_ply_79,Move_ply_80,Move_ply_81,Move_ply_82,Move_ply_83,Move_ply_84,Move_ply_85,Move_ply_86,Move_ply_87,Move_ply_88,Move_ply_89,Move_ply_90,Move_ply_91,Move_ply_92,Move_ply_93,Move_ply_94,Move_ply_95,Move_ply_96,Move_ply_97,Move_ply_98,Move_ply_99,Move_ply_100,Move_ply_101,Move_ply_102,Move_ply_103,Move_ply_104,Move_ply_105,Move_ply_106,Move_ply_107,Move_ply_108,Move_ply_109,Move_ply_110,Move_ply_111,Move_ply_112,Move_ply_113,Move_ply_114,Move_ply_115,Move_ply_116,Move_ply_117,Move_ply_118,Move_ply_119,Move_ply_120,Move_ply_121,Move_ply_122,Move_ply_123,Move_ply_124,Move_ply_125,Move_ply_126,Move_ply_127,Move_ply_128,Move_ply_129,Move_ply_130,Move_ply_131,Move_ply_132,Move_ply_133,Move_ply_134,Move_ply_135,Move_ply_136,Move_ply_137,Move_ply_138,Move_ply_139,Move_ply_140,Move_ply_141,Move_ply_142,Move_ply_143,Move_ply_144,Move_ply_145,Move_ply_146,Move_ply_147,Move_ply_148,Move_ply_149,Move_ply_150,Move_ply_151,Move_ply_152,Move_ply_153,Move_ply_154,Move_ply_155,Move_ply_156,Move_ply_157,Move_ply_158,Move_ply_159,Move_ply_160,Move_ply_161,Move_ply_162,Move_ply_163,Move_ply_164,Move_ply_165,Move_ply_166,Move_ply_167,Move_ply_168,Move_ply_169,Move_ply_170,Move_ply_171,Move_ply_172,Move_ply_173,Move_ply_174,Move_ply_175,Move_ply_176,Move_ply_177,Move_ply_178,Move_ply_179,Move_ply_180,Move_ply_181,Move_ply_182,Move_ply_183,Move_ply_184,Move_ply_185,Move_ply_186,Move_ply_187,Move_ply_188,Move_ply_189,Move_ply_190,Move_ply_191,Move_ply_192,Move_ply_193,Move_ply_194,Move_ply_195,Move_ply_196,Move_ply_197,Move_ply_198,Move_ply_199,Move_ply_200
0-1,d4,d5,g3,Nf6,Bg2,Bf5,Nf3,h6,O-O,e6,c3,Bd6,b4,O-O,Bb2,Nbd7,Nbd2,Nb6,a4,a5,b5,c6,bxc6,bxc6,Ne5,Bxe5,dxe5,Nfd7,Nf3,Nc4,Ba3,Nxa3,Rxa3,Qe7,Ra1,c5,Re1,Nb6,Nh4,Bh7,Nf3,Rfd8,Qc1,Qd7,Qa3,Qc6,Red1,Bc2,Re1,Bxa4,Nd2,Bc2,c4,a4,cxd5,exd5,Rec1,Bg6,Rxc5,Qe8,Rcc1,Qxe5,e3,Rac8,Rxc8,Rxc8,Nf3,Qc3,Qxc3,Rxc3,Nd4,Be4,Bxe4,dxe4,Kg2,g6,Nb5,Rb3,Nd6,f5,h4,Kg7,Nb7,Kf6,Nc5,Rb4,Na6,Rc4,Rb1,Nd5,Nb8,Rb4,Nd7+,Ke7,Rxb4,Nxb4,Nc5,a3,Kf1,a2,Nb3,Nc2,Ke2,a1=Q,Nxa1,Nxa1,f3,exf3+,Kxf3,Nb3,Kf4,Kf6,e4,fxe4,Kxe4,Nc5+,Kf4,Ne6+,Kg4,h5+,Kh3,Kf5,Kg2,Kg4,Kf2,Nd4,Kg2,Nf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,Nf6,c4,e5,dxe5,Ng4,Nf3,d6,exd6,Bxd6,h3,Nxf2,Kxf2,Bc5+,e3,Qxd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2-1/2,d4,d5,c4,e6,Bf4,c5,e3,Nc6,cxd5,exd5,Nf3,Bg4,Be2,Nf6,O-O,Be7,Ne5,Bxe2,Qxe2,cxd4,Nxc6,bxc6,exd4,O-O,Re1,Re8,Nc3,Rb8,Rab1,Bd6,Be5,Nd7,f4,f6,Qa6,fxe5,fxe5,Bb4,Qxc6,Bxc3,Qxd5+,Kh8,bxc3,Rxb1,Rxb1,Nb6,Qb7,Re7,Qc6,Rc7,Qd6,Qxd6,exd6,Rd7,Re1,g6,Re7,Rxd6,Rxa7,Rc6,Rb7,Nd5,Rd7,Nxc3,d5,Rf6,g4,Kg8,d6,Kf8,Rd8+,Kf7,g5,Re6,Rd7+,Ke8,Rxh7,Rxd6,a3,Nb1,a4,Nc3,a5,Ne4,Rh8+,Kd7,Rh7+,Kc8,h4,Nc5,Rh6,Nb3,h5,Rd1+,Kf2,gxh5,g6,Rd2+,Ke3,Rg2,a6,Kb8,Kf4,Nc5,Kf5,Nd7,Rxh5,Nf8,Rg5,Rxg5+,Kxg5,Nxg6,Kxg6,Ka7,Kf6,Kxa6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,Bf4,c6,Nc3,e6,Nf3,Bb4,a3,Bxc3+,bxc3,Nd7,e3,Ngf6,Be5,Ne4,Bxg7,Rg8,Be5,Qa5,Qd3,Ndc5,Qd1,Qxc3+,Nd2,Nxf2,Kxf2,Ne4+,Ke1,Qxd2+,Qxd2,Nxd2,Kxd2,Rg5,Bf4,Rf5,Be5,f6,Bd6,e5,Be2,exd4,exd4,Rf2,Rhg1,Bg4,Ke1,Rxe2+,Kf1,Rxc2,Re1+,Be2+,Rxe2+,Rxe2,Kxe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,c4,Nf6,d3,Nc6,Nc3,d6,f4,exf4,Bxf4,Bg4,Be2,Bxe2,Ngxe2,Be7,O-O,O-O,Nd5,Nxd5,cxd5,Nd4,Nxd4,h6,Nf5,Bf6,Nxh6+,gxh6,Bxh6,Re8,Qg4+,Kh7,Qh5,Rf8,Bg5+,Kg8,Bxf6,Qxf6,Rxf6,Kg7,Qh6+,Kg8,Qg5+,Kh8,Rh6#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,Bc4,Bc5,O-O,h6,c3,Qf6,Nxe5,Nxe5,Bb3,Nd3,Qe2,Nf4,Qe1,Qg6,g3,d6,d4,Nh3+,Kh1,Bb6,Qe2,Bg4,Qe3,O-O-O,Re1,Nf6,e5,Rde8,f4,Re7,Nd2,Rhe8,Nc4,dxe5,fxe5,Nd5,Qd2,Bf3+,Qg2,Bxg2+,Kxg2,Qg4,Nxb6+,Nxb6,Bd1,Qg6,Kxh3,Qd3,Be2,Qc2,a3,Re6,Bd1,Qd3,Be2,Qe4,b4,Nd5,Bb2,Ne3,Bf1,Qg4#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,c4,d5,b3,dxc4,bxc4,Qd4,Nc3,Qxc4,g3,Qc6,Nf3,Bg4,Bg2,Qd7,O-O,Bxf3,Bxf3,c6,Rb1,b5,Bb2,a6,d4,Ra7,d5,e6,dxc6,Nxc6,Qxd7+,Kxd7,Bxc6+,Kxc6,Rfc1,Ne7,Nxb5+,Kxb5,Bd4+,Ka5,Bxa7,Nd5,e4,Nb4,a3,Na2,Rc2,Nb4,axb4+,Bxb4,Bc5,Rb8,Bxb4+,Rxb4,Rxb4,Kxb4,Rc6,a5,Rc7,f5,Rxg7,a4,exf5,a3,fxe6,Kb3,Ra7,a2,e7,Kb2,e8=Q,a1=Q+,Rxa1,Kxa1,Qe7,h6,Qh7,Kb2,Qxh6,Kc3,f4,Kd4,f5,Ke4,f6,Ke5,f7,Kd4,f8=Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,Nf6,c4,e6,Nf3,Bb4+,Bd2,Bxd2+,Nbxd2,d5,e3,O-O,Bd3,Nc6,O-O,Re8,e4,e5,cxd5,Nxd4,Nxd4,exd4,Re1,Bg4,f3,Bh5,Nb3,c5,Nxc5,b6,Nb3,a6,Nxd4,b5,Nc6,Qb6+,Kh1,Nxe4,Bxe4,Rxe4,Rxe4,Bxf3,Qxf3,Rc8,Ne7+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,c4,Nf6,g3,d5,Bg2,e6,Nf3,c5,cxd5,exd5,d4,c4,b3,Bd6,bxc4,dxc4,Qa4+,Bd7,Qxc4,O-O,O-O,Be6,Qb5,Qc7,Ng5,Bc8,Ba3,Bxa3,Nxa3,a6,Qb2,h6,Rac1,Qd7,Nf3,Nc6,Nc4,b5,Nb6,Qb7,Nxa8,Qxa8,Ne5,Bb7,Nxc6,Bxc6,Bxc6,Qd8,d5,Qd6,Qd4,Rd8,e4,Nd7,Bxd7,Rxd7,Rfd1,f6,f4,Re7,Rc6,Qa3,e5,fxe5,fxe5,Qxa2,d6,Rd7,Qd5+,Kh7,Qxa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,g4,d5,Bg2,c6,h3,h5,g5,g6,d4,Bg7,h4,Bf5,Nc3,Nd7,Nf3,e5,dxe5,Nxe5,Bf4,Nxf3+,Bxf3,Ne7,e4,dxe4,Bxe4,Bxc3+,bxc3,Bxe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,Nc6,Nc3,e5,d3,Nf6,Be2,Bb4,Bd2,O-O,a3,Ba5,Nf3,Bb6,O-O,a6,Qc1,d6,Be3,Be6,Bxb6,cxb6,Ng5,Bd7,Qd2,h6,Nf3,Be6,b3,d5,exd5,Nxd5,Nxd5,Bxd5,c4,Be6,Rfd1,b5,cxb5,axb5,d4,exd4,Nxd4,Qe7,Nxe6,fxe6,Bxb5,Rxa3,Bxc6,bxc6,b4,Qf6,Re1,Raa8,Rxa8,Rxa8,h3,Rf8,Qc2,e5,Qc1,e4,Qc4+,Kh7,Qxe4+,g6,Qe7+,Rf7,Qxf6,Rxf6,Re7+,Kg8,Rc7,Re6,Kf1,g5,g3,Rd6,Rc8+,Kf7,Rc7+,Ke6,Rh7,Kd5,h4,gxh4,gxh4,Kc4,Rb7,Rd5,Kg2,Rb5,Rxb5,cxb5,f4,Kxb4,f5,Kc5,f6,Kd6,f7,Ke7,Kf3,Kxf7,Ke4,Kf6,Kd5,Kf5,Kc5,Kg4,Kxb5,Kxh4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,d4,exd4,c3,dxc3,Bc4,cxb2,Bxb2,Bb4+,Nc3,Nf6,Ne2,O-O,O-O,d6,Nd5,Nxd5,Bxd5,Bc5,Ng3,Nc6,Nh5,Ne5,Kh1,c6,f4,Bg4,Qd2,Bxh5,fxe5,cxd5,exd6,Bxd6,e5,Be7,Qf4,Bg6,Rad1,Rc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,c4,e5,Nc3,Nf6,Nf3,Nc6,e4,Bc5,g3,O-O,Bg2,Ng4,Nd5,Nxf2,Qe2,Nxh1,Bxh1,d6,d4,exd4,e5,dxe5,Nxe5,Nb4,Qf2,Nxd5,cxd5,b6,Bd2,d3,Qe3,Bxe3,Bxe3,Qxd5,Bxd5,Rb8,Bd4,Rd8,Bxf7+,Kf8,Bg6,Rxd4,Nd7+,Rxd7,Bf5,Re7+,Kf2,Bxf5,h3,Bxh3,g4,Bxg4,Rd1,Bxd1,Kg3,d2,Kf4,Bh5,Kg5,d1=Q,Kf4,Qf1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Bc4,Nc6,Nf3,g6,Ng5,e6,d3,Bg7,Nc3,a6,Qf3,f6,Nh3,Nge7,Be3,b6,Nf4,Ne5,Qg3,Nxc4,dxc4,O-O,O-O,Bb7,Nfe2,d5,cxd5,exd5,exd5,Nxd5,Nxd5,Qxd5,Rfd1,Qc4,Rd2,Rad8,b3,Qe6,Nf4,Qe7,Rad1,Rxd2,Rxd2,Rd8,Rxd8+,Qxd8,h3,Qd1+,Kh2,Qxc2,Ne6,h5,Nxg7,Kxg7,Qc7+,Kf8,Qxb7,Qe4,Qxe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,d5,exd5,Qxd5,Nc3,Qd7,Nf3,Nf6,Bb5,c6,Bc4,e5,Bb3,Bd6,d4,exd4,Nxd4,Bc5,Qe2+,Qe7,Qxe7+,Bxe7,Nf3,Bb4,Bd2,Bxc3,Bxc3,O-O,O-O-O,Bg4,Ng5,Bxd1,Rxd1,h6,Nxf7,Rxf7,Bxf7+,Kxf7,Rd8,Ke7,Rh8,Nfd7,Bxg7,Nb6,Be5,N8d7,Rxa8,Nxa8,Bf4,Nab6,Bxh6,Nd5,Bg5+,N5f6,h4,Ke6,h5,Kf5,Bxf6,Kxf6,g4,Ne5,Kd2,Kg5,Ke3,Kxg4,f3+,Nxf3,Ke4,Ng5+,Ke5,Kxh5,Kd6,Ne4+,Kc7,b5,Kxc6,b4,Kb5,Nd2,Kxb4,Ne4,c4,Nd6,c5,Nb7,c6,Nd8,c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Bc4,Nc6,d3,Nf6,f4,exf4,Bxf4,d6,Nf3,Be6,O-O,Bxc4,dxc4,Qd7,e5,Nxe5,Bxe5,dxe5,Nxe5,Qxd1,Rxd1,Bd6,Nf3,O-O-O,Nc3,Ng4,Nb5,Ne3,Rd3,Bc5,Kh1,Nxc2,Rad1,Rxd3,Rxd3,Re8,h3,Re2,b3,Nb4,a4,Nxd3,Ng5,Nf4,Nxf7,Rxg2,Ne5,Rg1+,Kh2,Re1,Nf7,Nd3,Kg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,c4,e5,Nc3,Bc5,g3,Nf6,Bg2,O-O,e3,c6,Nge2,d5,d4,exd4,exd4,Bb4,cxd5,Bxc3+,bxc3,Nxd5,Bb2,Re8,O-O,Bg4,Re1,Qe7,Qd2,Bxe2,Bf1,Nd7,Rxe2,Qf6,Rae1,Rxe2,Qxe2,h6,c4,Nc7,Qg4,Qg6,Qxd7,Ne6,Bg2,Rd8,Qxb7,Nxd4,Bxd4,Rxd4,Qc8+,Kh7,c5,f5,h4,f4,h5,Qc2,Qe6,fxg3,Be4+,Rxe4,Qxe4+,Qxe4,Rxe4,gxf2+,Kxf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e6,f4,d5,e5,f6,d4,c5,c3,Qb6,Nf3,Nc6,Be2,cxd4,cxd4,Be7,O-O,Bd7,Nc3,Bf8,Bb5,a6,Bxc6,bxc6,Nh4,c5,Be3,Qxb2,Na4,Bxa4,dxc5,Bxd1,Rfxd1,Qa3,Bf2,Bxc5,Bxc5,Qxc5+,Kh1,Qf2,Nf3,Nh6,Rf1,Qe3,f5,Nxf5,Rae1,Qh6,Rb1,Ng3+,Kg1,Nxf1,Rxf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,a5,Nf3,a4,a3,e5,d4,exd4,Nxd4,d5,e5,Bc5,Nc3,Nf6,exf6,Qxf6,Be3,Nc6,Nxd5,Qh4,Nxc7+,Kf8,Nxa8,Bg4,Be2,Nxd4,Bxd4,Bxd4,Qxd4,g6,Qxg4,Qe7,Qf3,Kg7,O-O,Rd8,Rad1,Qc5,Rxd8,Qxc2,Rfd1,Qxd1+,Bxd1,b6,Bxa4,b5,Bxb5,f6,Rd7+,Kh6,Qxf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e3,d5,d4,Nf6,Nf3,e6,Nc3,b6,Bd2,Bb7,Qe2,Nc6,g3,h6,Bh3,e5,Nxe5,Nxe5,dxe5,Ne4,Nxe4,dxe4,Bf5,Bc8,Bxe4,Rb8,Bc6+,Bd7,Be4,Be6,b3,c5,O-O-O,Be7,f4,a5,Rhf1,Bd5,Bd3,f6,e4,Bc6,h4,fxe5,fxe5,Rf8,Rxf8+,Bxf8,Rf1,Qd7,Qf2,Qe7,g4,Qxe5,g5,Be7,gxh6,gxh6,Bxh6,Bxe4,Bxe4,Qxe4,Kb1,Bxh4,Qf8+,Kd7,Qxb8,Bf6,Qb7+,Ke6,Qxe4+,Be5,Rf5,Kd6,Bf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,Nf3,c5,c4,Nc6,e4,e5,d3,Nf6,Nc3,a6,Bg5,d6,Qa4,Bd7,Qc2,Be7,Nd5,Nd4,Qc3,Ba4,Nxd4,cxd4,Qb4,Bc6,Nxe7,Qxe7,c5,O-O,cxd6,Qe6,O-O-O,a5,Qa3,b5,Qc5,Rac8,Qc2,Bxe4,dxe4,Rxc2+,Kxc2,Qxd6,Bxb5,Qc5+,Kb1,Qxb5,Bxf6,gxf6,Rhe1,Rc8,Rc1,Qd3+,Ka1,Rc2,Rxc2,Qxc2,a3,a4,b4,d3,Rb1,d2,Rb2,Qxb2+,Kxb2,d1=Q,b5,Qd7,Kc3,Qxb5,Kd2,Qb3,Ke2,Qxa3,f3,Qb2+,Ke3,a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,g6,c4,Bg7,e3,Nf6,c5,O-O,Nf3,b6,cxb6,cxb6,Bd3,Ba6,Bxa6,Nxa6,O-O,e5,dxe5,Ne4,Qe2,Nac5,Nc3,Nxc3,bxc3,d6,exd6,Qxd6,Bb2,Nd3,Rfd1,Nf4,exf4,Qxf4,g3,Qc7,Rab1,Rfe8,Qc2,Re6,c4,Bxb2,Rxb2,Rf6,Ng5,Kg7,Qd2,Qxc4,Rc2,Qg4,Kg2,Re8,h3,Qc8,Rxc8,Rxc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,Nf6,c4,c5,d5,d6,Nc3,g6,b3,Bg7,Bb2,O-O,Nf3,e5,e4,Nbd7,a4,h6,Be2,Nh7,O-O,f5,exf5,Rxf5,Bd3,Rf6,Ne4,Qe7,Nxf6+,Qxf6,Qc2,Nhf8,Rfe1,Kh7,Qe2,Nb6,Nxe5,dxe5,Bxe5,Qf7,Rad1,Bf5,Bxg7,Kxg7,Qe5+,Qf6,Bxf5,gxf5,Qc7+,Nfd7,Re6,Qb2,Re7+,Kf6,Qd6+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,Bf4,Nc6,Nf3,Be6,e3,Nf6,Nbd2,Bf5,Bb5,e6,Nh4,Qe7,Nxf5,exf5,Be5,Qe6,Nf3,Bb4+,c3,Bd6,Ng5,Qc8,Bxd6,cxd6,O-O,O-O,Bd3,g6,Qf3,Ne7,Qh3,Qc6,g4,fxg4,Qh6,Qa4,Be2,a5,Qh4,b5,Bxg4,b4,Ne6,fxe6,Bxe6+,Kg7,cxb4,axb4,Qg5,Neg8,Bxd5,Qa5,Qg2,Nxd5,Qe4,Rfe8,Qd3,Re5,f4,Rxe3,Qc2,Qd8,Rf2,Ra7,Rg2,Rae7,Rxg6+,Kf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e6,d4,d5,e5,Nc6,Nf3,f6,Bf4,fxe5,Nxe5,Nxe5,Bxe5,Nh6,Be2,Qh4,O-O,Nf5,Bg4,g6,Bxh8,Bd6,Be5,h5,Bxf5,Bxe5,dxe5,gxf5,Re1,Bd7,g3,Qb4,b3,Bc6,a3,Qa5,b4,Qa4,Nc3,Qa6,Qe2,Qxe2,Rxe2,d4,Nd1,O-O-O,Rd2,Be4,Nb2,Bxc2,Rxc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,h5,Nf3,h4,g3,hxg3,fxg3,d5,exd5,Qxd5,Nc3,Qd8,Bc4,e6,d4,Nc6,Be3,a5,a3,a4,Qd2,Nf6,O-O-O,Na5,Be2,Bxa3,bxa3,Qd6,Rdf1,Qxa3+,Kd1,Qb2,Ke1,a3,Kf2,Ng4+,Kg1,b6,Kg2,Bb7,Rb1,Nxe3+,Qxe3,Qxc2,Qc1,Qf5,Rb5,Nc4,Rxf5,a2,Nxa2,exf5,Qxc4,Rxa2,Kf2,Ra5,Qxc7,Be4,Qc8+,Ke7,Qxh8,b5,Qh4+,f6,Nd2,b4,Rb1,Bxb1,Nxb1,b3,Qh8,b2,Qxg7+,Ke6,Qb7,Ra2,Qb6+,Kd5,Qb3+,Kxd4,Qxa2,f4,Qxb2+,Kc5,Nd2,fxg3+,hxg3,f5,Qf6,f4,Qxf4,Kd5,g4,Ke6,g5,Kd5,g6,Kc5,g7,Kd5,g8=Q+,Kc5,Qgg5+,Kc6,Qff6+,Kd7,Qgg7+,Kc8,Qff8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,Bc4,Nf6,Ng5,Nxe4,d3,Nxg5,O-O,Nd4,c3,Nc6,Qg4,f6,Nd2,Bc5,Ne4,b6,Nxg5,fxg5,Bxg5,Qxg5,Qxg5,Na5,Qxg7,Nxc4,Qxh8+,Ke7,Qxh7+,Kd8,dxc4,Bb7,Rfe1,d6,Qh4+,Kd7,Re4,Kc6,b4,Kd7,bxc5,Bxe4,Qxe4,Re8,cxd6,cxd6,Qb7+,Ke6,Qxa7,d5,Qxb6+,Kd7,cxd5,Ra8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
